Siruta,Localitate,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_,
54305,Ticvaniu Mare,0.30015,0.30015,1.0005,1.0005,4.002,0.2001,0.30015,1.0005,
54350,Tarnova,0.2505,0.2505,0.835,0.835,3.34,0.167,0.2505,0.835,
54387,Toplet,0.3918,0.3918,1.306,1.306,5.224,0.2612,0.3918,1.306,
54412,Turnu Ruieni,0.52215,0.52215,1.7405,1.7405,6.962,0.3481,0.52215,1.7405,
54485,Valiug,0.11535,0.11535,0.3845,0.3845,1.538,0.0769,0.11535,0.3845,
54500,Varadia,0.21315,0.21315,0.7105,0.7105,2.842,0.1421,0.21315,0.7105,
54537,Vermes,0.2301,0.2301,0.767,0.767,3.068,0.1534,0.2301,0.767,
54573,Vrani,0.17535,0.17535,0.5845,0.5845,2.338,0.1169,0.17535,0.5845,
54617,Zavoi,0.62145,0.62145,2.0715,2.0715,8.286,0.4143,0.62145,2.0715,
54699,Zorlentu Mare,0.1302,0.1302,0.434,0.434,1.736,0.0868,0.1302,0.434,
54975,Municipiul Cluj-Napoca,48.2874,48.2874,160.958,160.958,643.832,32.1916,48.2874,160.958,
55008,Municipiul Dej,5.8479,5.8479,19.493,19.493,77.972,3.8986,5.8479,19.493,
55062,Cuzdrioara,0.44895,0.44895,1.4965,1.4965,5.986,0.2993,0.44895,1.4965,
55106,Jichisu De Jos,0.17265,0.17265,0.5755,0.5755,2.302,0.1151,0.17265,0.5755,
55160,Mica,0.5424,0.5424,1.808,1.808,7.232,0.3616,0.5424,1.808,
55259,Municipiul Turda,8.60115,8.60115,28.6705,28.6705,114.682,5.7341,8.60115,28.6705,
55277,Mihai Viteazu,0.86925,0.86925,2.8975,2.8975,11.59,0.5795,0.86925,2.8975,
55311,Sandulesti,0.3012,0.3012,1.004,1.004,4.016,0.2008,0.3012,1.004,
55357,Municipiul Campia Turzii,4.2477,4.2477,14.159,14.159,56.636,2.8318,4.2477,14.159,
55384,Municipiul Gherla,3.48675,3.48675,11.6225,11.6225,46.49,2.3245,3.48675,11.6225,
55446,Oras Huedin,1.4448,1.4448,4.816,4.816,19.264,0.9632,1.4448,4.816,
55473,Aghiresu,1.01835,1.01835,3.3945,3.3945,13.578,0.6789,1.01835,3.3945,
55598,Aiton,0.15645,0.15645,0.5215,0.5215,2.086,0.1043,0.15645,0.5215,
55623,Alunis,0.18165,0.18165,0.6055,0.6055,2.422,0.1211,0.18165,0.6055,
55687,Apahida,1.78905,1.78905,5.9635,5.9635,23.854,1.1927,1.78905,5.9635,
55776,Aschileu,0.2403,0.2403,0.801,0.801,3.204,0.1602,0.2403,0.801,
55838,Baciu,1.6221,1.6221,5.407,5.407,21.628,1.0814,1.6221,5.407,
55918,Baisoara,0.30885,0.30885,1.0295,1.0295,4.118,0.2059,0.30885,1.0295,
56014,Belis,0.19905,0.19905,0.6635,0.6635,2.654,0.1327,0.19905,0.6635,
56096,Bobalna,0.2244,0.2244,0.748,0.748,2.992,0.1496,0.2244,0.748,
56210,Bontida,0.732,0.732,2.44,2.44,9.76,0.488,0.732,2.44,
56265,Borsa,0.20715,0.20715,0.6905,0.6905,2.762,0.1381,0.20715,0.6905,
56327,Buza,0.192,0.192,0.64,0.64,2.56,0.128,0.192,0.64,
56354,Caianu,0.3579,0.3579,1.193,1.193,4.772,0.2386,0.3579,1.193,
56425,Calarasi,0.366,0.366,1.22,1.22,4.88,0.244,0.366,1.22,
56461,Calatele,0.3687,0.3687,1.229,1.229,4.916,0.2458,0.3687,1.229,
56522,Camarasu,0.41685,0.41685,1.3895,1.3895,5.558,0.2779,0.41685,1.3895,
56568,Capusu Mare,0.4665,0.4665,1.555,1.555,6.22,0.311,0.4665,1.555,
56666,Caseiu,0.71775,0.71775,2.3925,2.3925,9.57,0.4785,0.71775,2.3925,
56773,Catina,0.2808,0.2808,0.936,0.936,3.744,0.1872,0.2808,0.936,
56844,Ceanu Mare,0.58905,0.58905,1.9635,1.9635,7.854,0.3927,0.58905,1.9635,
56988,Chinteni,0.47205,0.47205,1.5735,1.5735,6.294,0.3147,0.47205,1.5735,
57083,Chiuiesti,0.3795,0.3795,1.265,1.265,5.06,0.253,0.3795,1.265,
57163,Ciucea,0.23535,0.23535,0.7845,0.7845,3.138,0.1569,0.23535,0.7845,
57225,Ciurila,0.21915,0.21915,0.7305,0.7305,2.922,0.1461,0.21915,0.7305,
57314,Catcau,0.3477,0.3477,1.159,1.159,4.636,0.2318,0.3477,1.159,
57350,Cojocna,0.62835,0.62835,2.0945,2.0945,8.378,0.4189,0.62835,2.0945,
57449,Cornesti,0.2073,0.2073,0.691,0.691,2.764,0.1382,0.2073,0.691,
57546,Dabaca,0.21675,0.21675,0.7225,0.7225,2.89,0.1445,0.21675,0.7225,
57582,Feleacu,0.5649,0.5649,1.883,1.883,7.532,0.3766,0.5649,1.883,
57644,Fizesu Gherlii,0.40155,0.40155,1.3385,1.3385,5.354,0.2677,0.40155,1.3385,
57706,Floresti,4.22445,4.22445,14.0815,14.0815,56.326,2.8163,4.22445,14.0815,
57742,Frata,0.61275,0.61275,2.0425,2.0425,8.17,0.4085,0.61275,2.0425,
57831,Geaca,0.2331,0.2331,0.777,0.777,3.108,0.1554,0.2331,0.777,
57902,Gilau,1.3056,1.3056,4.352,4.352,17.408,0.8704,1.3056,4.352,
57948,Garbau,0.3477,0.3477,1.159,1.159,4.636,0.2318,0.3477,1.159,
58008,Iara,0.60945,0.60945,2.0315,2.0315,8.126,0.4063,0.60945,2.0315,
58142,Iclod,0.6543,0.6543,2.181,2.181,8.724,0.4362,0.6543,2.181,
58204,Izvoru Crisului,0.23325,0.23325,0.7775,0.7775,3.11,0.1555,0.23325,0.7775,
58259,Jucu,0.64785,0.64785,2.1595,2.1595,8.638,0.4319,0.64785,2.1595,
58311,Luna,0.70305,0.70305,2.3435,2.3435,9.374,0.4687,0.70305,2.3435,
58357,Maguri-Racatau,0.3564,0.3564,1.188,1.188,4.752,0.2376,0.3564,1.188,
58393,Manastireni,0.21735,0.21735,0.7245,0.7245,2.898,0.1449,0.21735,0.7245,
58464,Margau,0.2379,0.2379,0.793,0.793,3.172,0.1586,0.2379,0.793,
58534,Marisel,0.23565,0.23565,0.7855,0.7855,3.142,0.1571,0.23565,0.7855,
58552,Mintiu Gherlii,0.57465,0.57465,1.9155,1.9155,7.662,0.3831,0.57465,1.9155,
58623,Mociu,0.5004,0.5004,1.668,1.668,6.672,0.3336,0.5004,1.668,
58721,Moldovenesti,0.4842,0.4842,1.614,1.614,6.456,0.3228,0.4842,1.614,
58794,Palatca,0.1686,0.1686,0.562,0.562,2.248,0.1124,0.1686,0.562,
58856,Panticeu,0.25995,0.25995,0.8665,0.8665,3.466,0.1733,0.25995,0.8665,
58918,Petrestii De Jos,0.23115,0.23115,0.7705,0.7705,3.082,0.1541,0.23115,0.7705,
58990,Ploscos,0.1035,0.1035,0.345,0.345,1.38,0.069,0.1035,0.345,
59041,Poieni,0.7578,0.7578,2.526,2.526,10.104,0.5052,0.7578,2.526,
59130,Recea-Cristur,0.207,0.207,0.69,0.69,2.76,0.138,0.207,0.69,
59238,Risca,0.2241,0.2241,0.747,0.747,2.988,0.1494,0.2241,0.747,
59283,Sacuieu,0.2241,0.2241,0.747,0.747,2.988,0.1494,0.2241,0.747,
59327,Savadisla,0.6264,0.6264,2.088,2.088,8.352,0.4176,0.6264,2.088,
59416,Sic,0.36075,0.36075,1.2025,1.2025,4.81,0.2405,0.36075,1.2025,
59434,Sancraiu,0.2358,0.2358,0.786,0.786,3.144,0.1572,0.2358,0.786,
59498,Sanmartin,0.2076,0.2076,0.692,0.692,2.768,0.1384,0.2076,0.692,
59586,Sanpaul,0.34095,0.34095,1.1365,1.1365,4.546,0.2273,0.34095,1.1365,
59657,Suatu,0.2502,0.2502,0.834,0.834,3.336,0.1668,0.2502,0.834,
59693,Tritenii De Jos,0.70485,0.70485,2.3495,2.3495,9.398,0.4699,0.70485,2.3495,
59764,Tureni,0.33525,0.33525,1.1175,1.1175,4.47,0.2235,0.33525,1.1175,
59826,Taga,0.27315,0.27315,0.9105,0.9105,3.642,0.1821,0.27315,0.9105,
59880,Unguras,0.41055,0.41055,1.3685,1.3685,5.474,0.2737,0.41055,1.3685,
59942,Vad,0.3039,0.3039,1.013,1.013,4.052,0.2026,0.3039,1.013,
60026,Valea Ierii,0.14055,0.14055,0.4685,0.4685,1.874,0.0937,0.14055,0.4685,
60062,Viisoara,0.89985,0.89985,2.9995,2.9995,11.998,0.5999,0.89985,2.9995,
60099,Vultureni,0.20505,0.20505,0.6835,0.6835,2.734,0.1367,0.20505,0.6835,
60169,Negreni,0.35895,0.35895,1.1965,1.1965,4.786,0.2393,0.35895,1.1965,
60419,Municipiul Constanta,47.6961,47.6961,158.987,158.987,635.948,31.7974,47.6961,158.987,
60455,Oras Eforie,1.6479,1.6479,5.493,5.493,21.972,1.0986,1.6479,5.493,
60482,Municipiul Mangalia,6.33555,6.33555,21.1185,21.1185,84.474,4.2237,6.33555,21.1185,
60507,Oras Navodari,6.25395,6.25395,20.8465,20.8465,83.386,4.1693,6.25395,20.8465,
60534,Oras Techirghiol,1.2114,1.2114,4.038,4.038,16.152,0.8076,1.2114,4.038,
60570,Agigea,1.19055,1.19055,3.9685,3.9685,15.874,0.7937,1.19055,3.9685,
60598,23-Aug,0.86295,0.86295,2.8765,2.8765,11.506,0.5753,0.86295,2.8765,
60632,Limanu,0.98385,0.98385,3.2795,3.2795,13.118,0.6559,0.98385,3.2795,
60687,Oras Ovidiu,2.343,2.343,7.81,7.81,31.24,1.562,2.343,7.81,
60721,Tuzla,1.06725,1.06725,3.5575,3.5575,14.23,0.7115,1.06725,3.5575,
60776,Oras Cernavoda,2.91015,2.91015,9.7005,9.7005,38.802,1.9401,2.91015,9.7005,
60801,Oras Harsova,1.68465,1.68465,5.6155,5.6155,22.462,1.1231,1.68465,5.6155,
60847,Municipiul Medgidia,6.9159,6.9159,23.053,23.053,92.212,4.6106,6.9159,23.053,
60883,Adamclisi,0.3582,0.3582,1.194,1.194,4.776,0.2388,0.3582,1.194,
60945,Albesti,0.5637,0.5637,1.879,1.879,7.516,0.3758,0.5637,1.879,
61005,Aliman,0.4332,0.4332,1.444,1.444,5.776,0.2888,0.4332,1.444,
61069,Oras Baneasa,0.8754,0.8754,2.918,2.918,11.672,0.5836,0.8754,2.918,
61121,Castelu,0.8133,0.8133,2.711,2.711,10.844,0.5422,0.8133,2.711,
61167,Cerchezu,0.2154,0.2154,0.718,0.718,2.872,0.1436,0.2154,0.718,
61210,Chirnogeni,0.51045,0.51045,1.7015,1.7015,6.806,0.3403,0.51045,1.7015,
61256,Ciobanu,0.5295,0.5295,1.765,1.765,7.06,0.353,0.5295,1.765,
61283,Ciocarlia,0.47175,0.47175,1.5725,1.5725,6.29,0.3145,0.47175,1.5725,
61318,Cobadin,1.42485,1.42485,4.7495,4.7495,18.998,0.9499,1.42485,4.7495,
61372,Cogealac,0.8397,0.8397,2.799,2.799,11.196,0.5598,0.8397,2.799,
61452,Comana,0.30285,0.30285,1.0095,1.0095,4.038,0.2019,0.30285,1.0095,
61513,Corbu,0.9438,0.9438,3.146,3.146,12.584,0.6292,0.9438,3.146,
61559,Crucea,0.48825,0.48825,1.6275,1.6275,6.51,0.3255,0.48825,1.6275,
61620,Cumpana,2.13285,2.13285,7.1095,7.1095,28.438,1.4219,2.13285,7.1095,
61675,Deleni,0.3735,0.3735,1.245,1.245,4.98,0.249,0.3735,1.245,
61737,Dobromir,0.52575,0.52575,1.7525,1.7525,7.01,0.3505,0.52575,1.7525,
61808,Garliciu,0.261,0.261,0.87,0.87,3.48,0.174,0.261,0.87,
61826,Ghindaresti,0.4092,0.4092,1.364,1.364,5.456,0.2728,0.4092,1.364,
61871,Independenta,0.4587,0.4587,1.529,1.529,6.116,0.3058,0.4587,1.529,
61951,Ion Corvin,0.3138,0.3138,1.046,1.046,4.184,0.2092,0.3138,1.046,
62020,Istria,0.3882,0.3882,1.294,1.294,5.176,0.2588,0.3882,1.294,
62057,Lipnita,0.48525,0.48525,1.6175,1.6175,6.47,0.3235,0.48525,1.6175,
62137,Mereni,0.37065,0.37065,1.2355,1.2355,4.942,0.2471,0.37065,1.2355,
62191,Mihail Kogalniceanu,1.5453,1.5453,5.151,5.151,20.604,1.0302,1.5453,5.151,
62253,Mihai Viteazu,0.55875,0.55875,1.8625,1.8625,7.45,0.3725,0.55875,1.8625,
62280,Mircea Voda,0.8058,0.8058,2.686,2.686,10.744,0.5372,0.8058,2.686,
62360,Oras Murfatlar,1.74735,1.74735,5.8245,5.8245,23.298,1.1649,1.74735,5.8245,
62397,Oras Negru Voda,0.8679,0.8679,2.893,2.893,11.572,0.5786,0.8679,2.893,
62440,Nicolae Balcescu,0.8253,0.8253,2.751,2.751,11.004,0.5502,0.8253,2.751,
62486,Oltina,0.40455,0.40455,1.3485,1.3485,5.394,0.2697,0.40455,1.3485,
62538,Ostrov,0.75525,0.75525,2.5175,2.5175,10.07,0.5035,0.75525,2.5175,
62609,Pantelimon,0.27615,0.27615,0.9205,0.9205,3.682,0.1841,0.27615,0.9205,
62672,Pecineaga,0.5127,0.5127,1.709,1.709,6.836,0.3418,0.5127,1.709,
62707,Pestera,0.5346,0.5346,1.782,1.782,7.128,0.3564,0.5346,1.782,
62761,Poarta Alba,0.84405,0.84405,2.8135,2.8135,11.254,0.5627,0.84405,2.8135,
62798,Rasova,0.5853,0.5853,1.951,1.951,7.804,0.3902,0.5853,1.951,
62823,Saraiu,0.20025,0.20025,0.6675,0.6675,2.67,0.1335,0.20025,0.6675,
62878,Sacele,0.3609,0.3609,1.203,1.203,4.812,0.2406,0.3609,1.203,
62903,Seimeni,0.33465,0.33465,1.1155,1.1155,4.462,0.2231,0.33465,1.1155,
62949,Silistea,0.22785,0.22785,0.7595,0.7595,3.038,0.1519,0.22785,0.7595,
62985,Targusor,0.252,0.252,0.84,0.84,3.36,0.168,0.252,0.84,
63045,Topalu,0.2724,0.2724,0.908,0.908,3.632,0.1816,0.2724,0.908,
63072,Topraisar,0.9273,0.9273,3.091,3.091,12.364,0.6182,0.9273,3.091,
63125,Valu Lui Traian,2.2083,2.2083,7.361,7.361,29.444,1.4722,2.2083,7.361,
63152,Lumina,1.59165,1.59165,5.3055,5.3055,21.222,1.0611,1.59165,5.3055,
63161,Dumbraveni,0.0843,0.0843,0.281,0.281,1.124,0.0562,0.0843,0.281,
63170,Vulturu,0.11235,0.11235,0.3745,0.3745,1.498,0.0749,0.11235,0.3745,
63189,Tortoman,0.28875,0.28875,0.9625,0.9625,3.85,0.1925,0.28875,0.9625,
63198,Amzacea,0.42795,0.42795,1.4265,1.4265,5.706,0.2853,0.42795,1.4265,
63278,Horia,0.17595,0.17595,0.5865,0.5865,2.346,0.1173,0.17595,0.5865,
63286,Costinesti,0.47565,0.47565,1.5855,1.5855,6.342,0.3171,0.47565,1.5855,
63294,Baraganu,0.3222,0.3222,1.074,1.074,4.296,0.2148,0.3222,1.074,
63300,Cuza Voda,0.65445,0.65445,2.1815,2.1815,8.726,0.4363,0.65445,2.1815,
63318,Saligny,0.34245,0.34245,1.1415,1.1415,4.566,0.2283,0.34245,1.1415,
63326,Gradina,0.1734,0.1734,0.578,0.578,2.312,0.1156,0.1734,0.578,
63334,Fantanele,0.2448,0.2448,0.816,0.816,3.264,0.1632,0.2448,0.816,
63394,Municipiul Sfantu Gheorghe,9.7677,9.7677,32.559,32.559,130.236,6.5118,9.7677,32.559,
63447,Oras Baraolt,1.4049,1.4049,4.683,4.683,18.732,0.9366,1.4049,4.683,
63526,Oras Covasna,1.70145,1.70145,5.6715,5.6715,22.686,1.1343,1.70145,5.6715,
63553,Comandau,0.15165,0.15165,0.5055,0.5055,2.022,0.1011,0.15165,0.5055,
63580,Oras Intorsura Buzaului,1.4052,1.4052,4.684,4.684,18.736,0.9368,1.4052,4.684,
63633,Barcani,0.60345,0.60345,2.0115,2.0115,8.046,0.4023,0.60345,2.0115,
63688,Sita Buzaului,0.73215,0.73215,2.4405,2.4405,9.762,0.4881,0.73215,2.4405,
63740,Municipiul Targu Secuiesc,3.04215,3.04215,10.1405,10.1405,40.562,2.0281,3.04215,10.1405,
63777,Aita Mare,0.25065,0.25065,0.8355,0.8355,3.342,0.1671,0.25065,0.8355,
63802,Batani,0.702,0.702,2.34,2.34,9.36,0.468,0.702,2.34,
63866,Belin,0.45465,0.45465,1.5155,1.5155,6.062,0.3031,0.45465,1.5155,
63893,Bodoc,0.387,0.387,1.29,1.29,5.16,0.258,0.387,1.29,
63937,Borosneu Mare,0.49425,0.49425,1.6475,1.6475,6.59,0.3295,0.49425,1.6475,
64005,Brates,0.22455,0.22455,0.7485,0.7485,2.994,0.1497,0.22455,0.7485,
64041,Bradut,0.7662,0.7662,2.554,2.554,10.216,0.5108,0.7662,2.554,
64096,Bretcu,0.5553,0.5553,1.851,1.851,7.404,0.3702,0.5553,1.851,
64130,Catalina,0.50865,0.50865,1.6955,1.6955,6.782,0.3391,0.50865,1.6955,
64194,Cernat,0.6051,0.6051,2.017,2.017,8.068,0.4034,0.6051,2.017,
64238,Chichis,0.2376,0.2376,0.792,0.792,3.168,0.1584,0.2376,0.792,
64265,Dobarlau,0.32925,0.32925,1.0975,1.0975,4.39,0.2195,0.32925,1.0975,
64318,Ghelinta,0.77595,0.77595,2.5865,2.5865,10.346,0.5173,0.77595,2.5865,
64345,Ghidfalau,0.40095,0.40095,1.3365,1.3365,5.346,0.2673,0.40095,1.3365,
64390,Haghig,0.34905,0.34905,1.1635,1.1635,4.654,0.2327,0.34905,1.1635,
64425,Ilieni,0.3021,0.3021,1.007,1.007,4.028,0.2014,0.3021,1.007,
64461,Lemnia,0.2895,0.2895,0.965,0.965,3.86,0.193,0.2895,0.965,
64504,Malnas,0.1599,0.1599,0.533,0.533,2.132,0.1066,0.1599,0.533,
64568,Moacsa,0.18255,0.18255,0.6085,0.6085,2.434,0.1217,0.18255,0.6085,
64602,Ojdula,0.5379,0.5379,1.793,1.793,7.172,0.3586,0.5379,1.793,
64639,Ozun,0.69825,0.69825,2.3275,2.3275,9.31,0.4655,0.69825,2.3275,
64719,Poian,0.26595,0.26595,0.8865,0.8865,3.546,0.1773,0.26595,0.8865,
64773,Reci,0.34485,0.34485,1.1495,1.1495,4.598,0.2299,0.34485,1.1495,
64826,Sanzieni,0.70185,0.70185,2.3395,2.3395,9.358,0.4679,0.70185,2.3395,
64871,Turia,0.58455,0.58455,1.9485,1.9485,7.794,0.3897,0.58455,1.9485,
64906,Valea Crisului,0.3645,0.3645,1.215,1.215,4.86,0.243,0.3645,1.215,
64942,Valcele,0.756,0.756,2.52,2.52,10.08,0.504,0.756,2.52,
64997,Varghis,0.2775,0.2775,0.925,0.925,3.7,0.185,0.2775,0.925,
65011,Zagon,0.80205,0.80205,2.6735,2.6735,10.694,0.5347,0.80205,2.6735,
65048,Zabala,0.7305,0.7305,2.435,2.435,9.74,0.487,0.7305,2.435,
65099,Valea Mare,0.1731,0.1731,0.577,0.577,2.308,0.1154,0.1731,0.577,
65105,Mereni,0.1977,0.1977,0.659,0.659,2.636,0.1318,0.1977,0.659,
65113,Arcus,0.24,0.24,0.8,0.8,3.2,0.16,0.24,0.8,
65121,Bixad,0.27315,0.27315,0.9105,0.9105,3.642,0.1821,0.27315,0.9105,
65139,Micfalau,0.2778,0.2778,0.926,0.926,3.704,0.1852,0.2778,0.926,
65147,Dalnic,0.14505,0.14505,0.4835,0.4835,1.934,0.0967,0.14505,0.4835,
65154,Estelnic,0.17325,0.17325,0.5775,0.5775,2.31,0.1155,0.17325,0.5775,
65342,Municipiul Targoviste,14.0439,14.0439,46.813,46.813,187.252,9.3626,14.0439,46.813,
65379,Aninoasa,0.93165,0.93165,3.1055,3.1055,12.422,0.6211,0.93165,3.1055,
65413,Doicesti,0.71835,0.71835,2.3945,2.3945,9.578,0.4789,0.71835,2.3945,
65431,Razvad,1.3161,1.3161,4.387,4.387,17.548,0.8774,1.3161,4.387,
65477,Sotanga,1.08165,1.08165,3.6055,3.6055,14.422,0.7211,1.08165,3.6055,
65501,Ulmi,0.66165,0.66165,2.2055,2.2055,8.822,0.4411,0.66165,2.2055,
65609,Oras Fieni,1.1478,1.1478,3.826,3.826,15.304,0.7652,1.1478,3.826,
65645,Motaieni,0.31365,0.31365,1.0455,1.0455,4.182,0.2091,0.31365,1.0455,
65681,Oras Gaesti,2.3019,2.3019,7.673,7.673,30.692,1.5346,2.3019,7.673,
65707,Gura Foii,0.333,0.333,1.11,1.11,4.44,0.222,0.333,1.11,
65752,Petresti,0.84345,0.84345,2.8115,2.8115,11.246,0.5623,0.84345,2.8115,
65841,Municipiul Moreni,3.0786,3.0786,10.262,10.262,41.048,2.0524,3.0786,10.262,
65869,Iedera,0.5937,0.5937,1.979,1.979,7.916,0.3958,0.5937,1.979,
65921,Oras Pucioasa,2.31015,2.31015,7.7005,7.7005,30.802,1.5401,2.31015,7.7005,
66009,Branesti,0.6495,0.6495,2.165,2.165,8.66,0.433,0.6495,2.165,
66081,Oras Titu,1.55415,1.55415,5.1805,5.1805,20.722,1.0361,1.55415,5.1805,
66152,Branistea,0.6279,0.6279,2.093,2.093,8.372,0.4186,0.6279,2.093,
66198,Baleni,1.31745,1.31745,4.3915,4.3915,17.566,0.8783,1.31745,4.3915,
66223,Barbuletu,0.33075,0.33075,1.1025,1.1025,4.41,0.2205,0.33075,1.1025,
66330,Bezdead,0.684,0.684,2.28,2.28,9.12,0.456,0.684,2.28,
66401,Bilciuresti,0.27705,0.27705,0.9235,0.9235,3.694,0.1847,0.27705,0.9235,
66438,Buciumeni,0.6795,0.6795,2.265,2.265,9.06,0.453,0.6795,2.265,
66474,Bucsani,1.03995,1.03995,3.4665,3.4665,13.866,0.6933,1.03995,3.4665,
66526,Candesti,0.42045,0.42045,1.4015,1.4015,5.606,0.2803,0.42045,1.4015,
66580,Cobia,0.459,0.459,1.53,1.53,6.12,0.306,0.459,1.53,
66697,Cojasca,1.26795,1.26795,4.2265,4.2265,16.906,0.8453,1.26795,4.2265,
66731,Comisani,0.77775,0.77775,2.5925,2.5925,10.37,0.5185,0.77775,2.5925,
66768,Contesti,0.6489,0.6489,2.163,2.163,8.652,0.4326,0.6489,2.163,
66857,Corbii Mari,1.21005,1.21005,4.0335,4.0335,16.134,0.8067,1.21005,4.0335,
66955,Cornatelu,0.2139,0.2139,0.713,0.713,2.852,0.1426,0.2139,0.713,
67014,Cornesti,0.9399,0.9399,3.133,3.133,12.532,0.6266,0.9399,3.133,
67121,Costestii Din Vale,0.53175,0.53175,1.7725,1.7725,7.09,0.3545,0.53175,1.7725,
67167,Crangurile,0.51675,0.51675,1.7225,1.7225,6.89,0.3445,0.51675,1.7225,
67256,Darmanesti,0.7332,0.7332,2.444,2.444,9.776,0.4888,0.7332,2.444,
67292,Dobra,0.5448,0.5448,1.816,1.816,7.264,0.3632,0.5448,1.816,
67327,Dragodana,1.00545,1.00545,3.3515,3.3515,13.406,0.6703,1.00545,3.3515,
67407,Dragomiresti,1.31775,1.31775,4.3925,4.3925,17.57,0.8785,1.31775,4.3925,
67470,Finta,0.62235,0.62235,2.0745,2.0745,8.298,0.4149,0.62235,2.0745,
67522,Glodeni,0.6534,0.6534,2.178,2.178,8.712,0.4356,0.6534,2.178,
67595,Gura Ocnitei,1.0968,1.0968,3.656,3.656,14.624,0.7312,1.0968,3.656,
67648,Gura Sutii,0.80925,0.80925,2.6975,2.6975,10.79,0.5395,0.80925,2.6975,
67675,Hulubesti,0.4857,0.4857,1.619,1.619,6.476,0.3238,0.4857,1.619,
67737,I. L. Caragiale,1.0215,1.0215,3.405,3.405,13.62,0.681,1.0215,3.405,
67773,Lucieni,0.45165,0.45165,1.5055,1.5055,6.022,0.3011,0.45165,1.5055,
67835,Ludesti,0.77265,0.77265,2.5755,2.5755,10.302,0.5151,0.77265,2.5755,
67906,Lunguletu,0.82695,0.82695,2.7565,2.7565,11.026,0.5513,0.82695,2.7565,
67942,Malu Cu Flori,0.34545,0.34545,1.1515,1.1515,4.606,0.2303,0.34545,1.1515,
68002,Manesti,0.78285,0.78285,2.6095,2.6095,10.438,0.5219,0.78285,2.6095,
68048,Matasaru,0.78735,0.78735,2.6245,2.6245,10.498,0.5249,0.78735,2.6245,
68128,Mogosani,0.65145,0.65145,2.1715,2.1715,8.686,0.4343,0.65145,2.1715,
68182,Moroeni,0.77385,0.77385,2.5795,2.5795,10.318,0.5159,0.77385,2.5795,
68253,Morteni,0.42585,0.42585,1.4195,1.4195,5.678,0.2839,0.42585,1.4195,
68280,Nucet,0.64275,0.64275,2.1425,2.1425,8.57,0.4285,0.64275,2.1425,
68324,Ocnita,0.66945,0.66945,2.2315,2.2315,8.926,0.4463,0.66945,2.2315,
68342,Odobesti,0.7662,0.7662,2.554,2.554,10.216,0.5108,0.7662,2.554,
68404,Pietrosita,0.4794,0.4794,1.598,1.598,6.392,0.3196,0.4794,1.598,
68431,Poiana,0.54135,0.54135,1.8045,1.8045,7.218,0.3609,0.54135,1.8045,
68468,Potlogi,1.3488,1.3488,4.496,4.496,17.984,0.8992,1.3488,4.496,
68529,Produlesti,0.5148,0.5148,1.716,1.716,6.864,0.3432,0.5148,1.716,
68565,Pucheni,0.2784,0.2784,0.928,0.928,3.712,0.1856,0.2784,0.928,
68627,Oras Racari,0.9786,0.9786,3.262,3.262,13.048,0.6524,0.9786,3.262,
68716,Runcu,0.6654,0.6654,2.218,2.218,8.872,0.4436,0.6654,2.218,
68789,Salcioara,0.58695,0.58695,1.9565,1.9565,7.826,0.3913,0.58695,1.9565,
68887,Selaru,0.4746,0.4746,1.582,1.582,6.328,0.3164,0.4746,1.582,
68921,Tatarani,0.77985,0.77985,2.5995,2.5995,10.398,0.5199,0.77985,2.5995,
68976,Uliesti,0.61965,0.61965,2.0655,2.0655,8.262,0.4131,0.61965,2.0655,
69063,Valea Lunga,0.71595,0.71595,2.3865,2.3865,9.546,0.4773,0.71595,2.3865,
69170,Valea Mare,0.3306,0.3306,1.102,1.102,4.408,0.2204,0.3306,1.102,
69250,Vacaresti,0.7821,0.7821,2.607,2.607,10.428,0.5214,0.7821,2.607,
69303,Valeni-Dambovita,0.3921,0.3921,1.307,1.307,5.228,0.2614,0.3921,1.307,
69330,Visina,0.60105,0.60105,2.0035,2.0035,8.014,0.4007,0.60105,2.0035,
69394,Visinesti,0.28335,0.28335,0.9445,0.9445,3.778,0.1889,0.28335,0.9445,
69447,Varfuri,0.28365,0.28365,0.9455,0.9455,3.782,0.1891,0.28365,0.9455,
69526,Voinesti,0.9036,0.9036,3.012,3.012,12.048,0.6024,0.9036,3.012,
69615,Vulcana-Bai,0.4557,0.4557,1.519,1.519,6.076,0.3038,0.4557,1.519,
69900,Municipiul Craiova,45.8919,45.8919,152.973,152.973,611.892,30.5946,45.8919,152.973,
69964,Bucovat,0.624,0.624,2.08,2.08,8.32,0.416,0.624,2.08,
70094,Isalnita,0.6021,0.6021,2.007,2.007,8.028,0.4014,0.6021,2.007,
70110,Podari,1.0062,1.0062,3.354,3.354,13.416,0.6708,1.0062,3.354,
70174,Simnicu De Sus,0.70065,0.70065,2.3355,2.3355,9.342,0.4671,0.70065,2.3355,
70316,Municipiul Bailesti,3.0024,3.0024,10.008,10.008,40.032,2.0016,3.0024,10.008,
70352,Municipiul Calafat,2.7813,2.7813,9.271,9.271,37.084,1.8542,2.7813,9.271,
70414,Oras Filiasi,2.76585,2.76585,9.2195,9.2195,36.878,1.8439,2.76585,9.2195,
70502,Oras Segarcea,1.2042,1.2042,4.014,4.014,16.056,0.8028,1.2042,4.014,
